State,County,percent
Alabama,Autauga County,34.1
Alabama,Baldwin County,27.4
Alabama,Barbour County,44.4
Alabama,Bibb County,40.3
Alabama,Blount County,34.6
Alabama,Bullock County,43
Alabama,Butler County,36.3
Alabama,Calhoun County,32.2
Alabama,Chambers County,39.7
Alabama,Cherokee County,33.6
Alabama,Chilton County,35.9
Alabama,Choctaw County,40.8
Alabama,Clarke County,38.2
Alabama,Clay County,37.3
Alabama,Cleburne County,30
Alabama,Coffee County,33.7
Alabama,Colbert County,37.5
Alabama,Conecuh County,36.4
Alabama,Coosa County,39.7
Alabama,Covington County,34
Alabama,Crenshaw County,39.7
Alabama,Cullman County,33.4
Alabama,Dale County,36.5
Alabama,Dallas County,40.8
Alabama,DeKalb County,30.4
Alabama,Elmore County,35.4
Alabama,Escambia County,37.7
Alabama,Etowah County,35.1
Alabama,Fayette County,33.7
Alabama,Franklin County,33.2
Alabama,Geneva County,34.1
Alabama,Greene County,46.3
Alabama,Hale County,40.4
Alabama,Henry County,35.8
Alabama,Houston County,32.8
Alabama,Jackson County,32
Alabama,Jefferson County,33.2
Alabama,Lamar County,33.6
Alabama,Lauderdale County,32.9
Alabama,Lawrence County,35.5
Alabama,Lee County,29
Alabama,Limestone County,32.9
Alabama,Lowndes County,45.1
Alabama,Macon County,44.7
Alabama,Madison County,32.3
Alabama,Marengo County,40.3
Alabama,Marion County,35.5
Alabama,Marshall County,33.2
Alabama,Mobile County,37.1
Alabama,Monroe County,35.3
Alabama,Montgomery County,34.8
Alabama,Morgan County,31.6
Alabama,Perry County,43
Alabama,Pickens County,36.4
Alabama,Pike County,38.4
Alabama,Randolph County,30.9
Alabama,Russell County,36.4
Alabama,St. Clair County,33
Alabama,Shelby County,30.1
Alabama,Sumter County,40.3
Alabama,Talladega County,39
Alabama,Tallapoosa County,36.9
Alabama,Tuscaloosa County,34.3
Alabama,Walker County,33.2
Alabama,Washington County,40.2
Alabama,Wilcox County,44.9
Alabama,Winston County,30.2
Alaska,Aleutians East Borough,33.4
Alaska,Aleutians West,39.4
Alaska,Anchorage Municipality,27
Alaska,Bethel Census Area,30.3
Alaska,Bristol Bay Borough,39.7
Alaska,Denali Borough,27
Alaska,Dillingham Census Area,38
Alaska,Fairbanks North Star,28.1
Alaska,Haines Borough,25.5
Alaska,Hoonah-Angoon 2009 Census,31.8
Alaska,Juneau City and Borough,28.6
Alaska,Kenai Peninsula Borough,28.4
Alaska,Ketchikan Gateway Borough,30.8
Alaska,Kodiak Island Borough,30.2
Alaska,Lake and Peninsula Borough,31.9
Alaska,Matanuska-Susitna Borough,30.2
Alaska,Nome Census Area,31.7
Alaska,North Slope Borough,36.5
Alaska,Northwest Arctic Borough,32.4
Alaska,Petersburg 2009 Census,30.5
Alaska,Prince of Wales-Hyder 2009 Census,35.2
Alaska,Prince of Wales-Outer K 2004 to 2008 Census,No Data
Alaska,Sitka City and Borough,28.7
Alaska,Skagway Municipality 2009 Census,28.1
Alaska,Hoonah-Angoon 2004 to 2008 Census,No Data
Alaska,Southeast Fairbanks Census,33.1
Alaska,Valdez-Cordova Census Area,30.4
Alaska,Wade Hampton Census Area,32.6
Alaska,Wrangell City and Borough 2009 Census,30.6
Alaska,Wrangell-Petersburg 2004 to 2008 Census,No Data
Alaska,Yakutat City and Borough,31.3
Alaska,Yukon-Koyukuk Census Area,28.3
Arizona,Apache County,35.2
Arizona,Cochise County,26
Arizona,Coconino County,23.2
Arizona,Gila County,27.5
Arizona,Graham County,32.5
Arizona,Greenlee County,34.7
Arizona,La Paz County,32
Arizona,Maricopa County,25.4
Arizona,Mohave County,29.6
Arizona,Navajo County,30.9
Arizona,Pima County,24.2
Arizona,Pinal County,31.6
Arizona,Santa Cruz County,23
Arizona,Yavapai County,25.3
Arizona,Yuma County,30.5
Arkansas,Arkansas County,33.8
Arkansas,Ashley County,42.1
Arkansas,Baxter County,32.3
Arkansas,Benton County,30.1
Arkansas,Boone County,33.9
Arkansas,Bradley County,39
Arkansas,Calhoun County,34.2
Arkansas,Carroll County,35.8
Arkansas,Chicot County,43.1
Arkansas,Clark County,34.3
Arkansas,Clay County,33.7
Arkansas,Cleburne County,31.8
Arkansas,Cleveland County,35.7
Arkansas,Columbia County,36.4
Arkansas,Conway County,39.7
Arkansas,Craighead County,36.4
Arkansas,Crawford County,35.1
Arkansas,Crittenden County,38.8
Arkansas,Cross County,37.9
Arkansas,Dallas County,36.2
Arkansas,Desha County,39.6
Arkansas,Drew County,34.3
Arkansas,Faulkner County,33.2
Arkansas,Franklin County,37.1
Arkansas,Fulton County,32.9
Arkansas,Garland County,32.3
Arkansas,Grant County,38.3
Arkansas,Greene County,31.2
Arkansas,Hempstead County,40.3
Arkansas,Hot Spring County,34.7
Arkansas,Howard County,35.7
Arkansas,Independence County,37.2
Arkansas,Izard County,33.9
Arkansas,Jackson County,37.2
Arkansas,Jefferson County,40.7
Arkansas,Johnson County,36.4
Arkansas,Lafayette County,36.3
Arkansas,Lawrence County,31.8
Arkansas,Lee County,35.7
Arkansas,Lincoln County,37.5
Arkansas,Little River County,32.7
Arkansas,Logan County,37.5
Arkansas,Lonoke County,35.8
Arkansas,Madison County,34
Arkansas,Marion County,31.7
Arkansas,Miller County,35.9
Arkansas,Mississippi County,39.8
Arkansas,Monroe County,37.5
Arkansas,Montgomery County,33.8
Arkansas,Nevada County,36
Arkansas,Newton County,34.2
Arkansas,Ouachita County,34.8
Arkansas,Perry County,37.5
Arkansas,Phillips County,45.5
Arkansas,Pike County,37.8
Arkansas,Poinsett County,38.4
Arkansas,Polk County,36.7
Arkansas,Pope County,32.1
Arkansas,Prairie County,36.3
Arkansas,Pulaski County,31.7
Arkansas,Randolph County,35.3
Arkansas,St. Francis County,42.5
Arkansas,Saline County,32.5
Arkansas,Scott County,32.5
Arkansas,Searcy County,35
Arkansas,Sebastian County,36.9
Arkansas,Sevier County,36.7
Arkansas,Sharp County,37.3
Arkansas,Stone County,32.6
Arkansas,Union County,39.4
Arkansas,Van Buren County,35.6
Arkansas,Washington County,30.6
Arkansas,White County,36.3
Arkansas,Woodruff County,35.8
Arkansas,Yell County,37.1
California,Alameda County,20
California,Alpine County,23.4
California,Amador County,25.5
California,Butte County,25.9
California,Calaveras County,23.5
California,Colusa County,25.4
California,Contra Costa County,25
California,Del Norte County,25.5
California,El Dorado County,20.6
California,Fresno County,26.6
California,Glenn County,26.7
California,Humboldt County,25.5
California,Imperial County,26.3
California,Inyo County,23.3
California,Kern County,30.3
California,Kings County,26.4
California,Lake County,26.2
California,Lassen County,23.9
California,Los Angeles County,21.4
California,Madera County,26.5
California,Marin County,18.9
California,Mariposa County,24.4
California,Mendocino County,22.4
California,Merced County,29.5
California,Modoc County,23.2
California,Mono County,22.8
California,Monterey County,22.3
California,Napa County,23.7
California,Nevada County,21.1
California,Orange County,19.7
California,Placer County,21.7
California,Plumas County,23
California,Riverside County,26
California,Sacramento County,27.4
California,San Benito County,23.3
California,San Bernardino County,27.9
California,San Diego County,19.1
California,San Francisco County,16.1
California,San Joaquin County,28.3
California,San Luis Obispo County,24.5
California,San Mateo County,21.1
California,Santa Barbara County,18.2
California,Santa Clara County,19.5
California,Santa Cruz County,20.2
California,Shasta County,26.5
California,Sierra County,22.5
California,Siskiyou County,23.2
California,Solano County,30.1
California,Sonoma County,20.9
California,Stanislaus County,32.6
California,Sutter County,28.7
California,Tehama County,27.2
California,Trinity County,25.1
California,Tulare County,32.6
California,Tuolumne County,20.2
California,Ventura County,20.3
California,Yolo County,22.7
California,Yuba County,24.8
Colorado,Adams County,26.3
Colorado,Alamosa County,23
Colorado,Arapahoe County,21.4
Colorado,Archuleta County,16.5
Colorado,Baca County,19.4
Colorado,Bent County,26.5
Colorado,Boulder County,13.4
Colorado,Broomfield County,17.6
Colorado,Chaffee County,20.5
Colorado,Cheyenne County,23.7
Colorado,Clear Creek County,18.1
Colorado,Conejos County,24.5
Colorado,Costilla County,21.9
Colorado,Crowley County,21.6
Colorado,Custer County,20.5
Colorado,Delta County,20.4
Colorado,Denver County,16.4
Colorado,Dolores County,19.8
Colorado,Douglas County,17
Colorado,Eagle County,11.8
Colorado,Elbert County,19.6
Colorado,El Paso County,22.3
Colorado,Fremont County,22.8
Colorado,Garfield County,20
Colorado,Gilpin County,19.7
Colorado,Grand County,17.4
Colorado,Gunnison County,14.8
Colorado,Hinsdale County,20.5
Colorado,Huerfano County,20.1
Colorado,Jackson County,21.4
Colorado,Jefferson County,18.3
Colorado,Kiowa County,19.5
Colorado,Kit Carson County,27.6
Colorado,Lake County,17.5
Colorado,La Plata County,16.3
Colorado,Larimer County,18.7
Colorado,Las Animas County,21
Colorado,Lincoln County,23.8
Colorado,Logan County,25.4
Colorado,Mesa County,23.5
Colorado,Mineral County,18.1
Colorado,Moffat County,25.8
Colorado,Montezuma County,21.7
Colorado,Montrose County,19.7
Colorado,Morgan County,26.9
Colorado,Otero County,26.9
Colorado,Ouray County,18.6
Colorado,Park County,20.5
Colorado,Phillips County,22.8
Colorado,Pitkin County,14.9
Colorado,Prowers County,26.1
Colorado,Pueblo County,25.9
Colorado,Rio Blanco County,22.6
Colorado,Rio Grande County,23.2
Colorado,Routt County,14.3
Colorado,Saguache County,19.7
Colorado,San Juan County,19.3
Colorado,San Miguel County,16.7
Colorado,Sedgwick County,22.1
Colorado,Summit County,13.1
Colorado,Teller County,20.3
Colorado,Washington County,23.2
Colorado,Weld County,26
Colorado,Yuma County,24.8
Connecticut,Fairfield County,21.4
Connecticut,Hartford County,26.8
Connecticut,Litchfield County,23.9
Connecticut,Middlesex County,24.1
Connecticut,New Haven County,26.5
Connecticut,New London County,27.6
Connecticut,Tolland County,24.8
Connecticut,Windham County,29.6
Delaware,Kent County,32.8
Delaware,New Castle County,27.7
Delaware,Sussex County,31
District of Columbia,District of Columbia,22.4
Florida,Alachua County,25.6
Florida,Baker County,35.8
Florida,Bay County,29.9
Florida,Bradford County,35.9
Florida,Brevard County,25.6
Florida,Broward County,24.4
Florida,Calhoun County,39.4
Florida,Charlotte County,25.7
Florida,Citrus County,26.3
Florida,Clay County,29.7
Florida,Collier County,19.5
Florida,Columbia County,36.3
Florida,DeSoto County,36
Florida,Dixie County,30.6
