State,Obesity,Poverty,Latitude,Longitude
Alabama,35.6,21.76,32.806671,-86.79113
Alaska,29.8,13.34,61.370716,-152.404419
Arizona,28.4,21.3,33.729759,-111.431221
Arkansas,34.5,21.6,34.969704,-92.373123
California,24.2,16.7,36.116203,-119.681564
Colorado,20.2,14.5,39.059811,-105.311104
Connecticut,25.3,9.875,41.597782,-72.755371
Delaware,29.7,11.86,39.318523,-75.507141
District of Columbia,22.1,18,38.897438,-77.026817
Florida,26.8,18.2,27.766279,-81.686783
Georgia,30.7,22.2,33.040619,-83.643074
Hawaii,22.7,13.2,21.094318,-157.498337
Idaho,28.6,16.2,44.240459,-114.478828
Illinois,30.8,14.2,40.349457,-88.986137
Indiana,31.3,13.89,39.849426,-86.258278
Iowa,32.1,11.85,42.011539,-93.210526
Kansas,34.2,12.88,38.5266,-96.726486
Kentucky,34.6,21.83,37.66814,-84.670067
Louisiana,36.2,21.6,31.169546,-91.867805
Maine,30,15.45,44.693947,-69.381927
Maryland,28.9,11.24,39.063946,-76.802101
Massachusetts,24.3,12,42.230171,-71.530106
Michigan,31.2,16.67,43.326618,-84.536095
Minnesota,26.1,11.67,45.694454,-93.900192
Mississippi,35.6,25.7,32.741646,-89.678696
Missouri,32.4,18,38.456085,-92.288368
Montana,23.6,15.7,46.921925,-110.454353
Nebraska,31.4,11.96,41.12537,-98.268082
Nevada,26.7,14,38.313515,-117.055374
New Hampshire,26.3,10.17,43.452492,-71.563896
New Jersey,25.6,10.53,40.298904,-74.521011
New Mexico,28.8,21.12,34.840515,-106.248482
New York,25,14.48,42.165726,-74.948051
North Carolina,30.1,19.37,35.630066,-79.806419
North Dakota,31,11.42,47.528912,-99.784012
Ohio,29.8,15.33,40.388783,-82.764915
Oklahoma,33.9,17.34,35.565342,-96.928917
Oregon,30.1,17.35,44.572021,-122.070938
Pennsylvania,30,13.14,40.590752,-77.209755
Rhode Island,26,10.7,41.680893,-71.51178
South Carolina,31.7,21.21,33.856892,-80.945007
South Dakota,30.4,16.74,44.299782,-99.438828
Tennessee,33.8,19.45,35.747845,-86.692345
Texas,32.4,17.16,31.054487,-97.563461
Utah,24.5,13.27,40.150032,-111.862434
Vermont,25.1,11.79,44.045876,-72.710686
Virginia,29.2,14.97,37.769337,-78.169968
Washington,26.4,16.26,47.400902,-121.490494
West Virginia,35.6,19.79,38.491226,-80.954453
Wisconsin,30.7,12.52,44.268543,-89.616508
Wyoming,29,11.67,42.755966,-107.30249
