ID,State,County,obesity_percent,poverty_percent,,
1,Alabama,Autauga County,34.1,12.9,,
2,Alabama,Baldwin County,27.4,13.4,,
3,Alabama,Barbour County,44.4,26.7,,
4,Alabama,Bibb County,40.3,16.8,,
5,Alabama,Blount County,34.6,16.7,,
6,Alabama,Bullock County,43,24.6,,
7,Alabama,Butler County,36.3,25.4,,
8,Alabama,Calhoun County,32.2,20.5,,
9,Alabama,Chambers County,39.7,21.6,,
10,Alabama,Cherokee County,33.6,19.2,,
11,Alabama,Chilton County,35.9,19.1,,
12,Alabama,Choctaw County,40.8,23.4,,
13,Alabama,Clarke County,38.2,24.7,,
14,Alabama,Clay County,37.3,16.7,,
15,Alabama,Cleburne County,30,17,,
16,Alabama,Coffee County,33.7,17.1,,
17,Alabama,Colbert County,37.5,17.4,,
18,Alabama,Conecuh County,36.4,33.8,,
19,Alabama,Coosa County,39.7,19.3,,
20,Alabama,Covington County,34,20.2,,
21,Alabama,Crenshaw County,39.7,16.7,,
22,Alabama,Cullman County,33.4,18.5,,
23,Alabama,Dale County,36.5,19.1,,
24,Alabama,Dallas County,40.8,35,,
25,Alabama,DeKalb County,30.4,18.7,,
26,Alabama,Elmore County,35.4,13.6,,
27,Alabama,Escambia County,37.7,24.2,,
28,Alabama,Etowah County,35.1,19.7,,
29,Alabama,Fayette County,33.7,18.3,,
30,Alabama,Franklin County,33.2,22.5,,
31,Alabama,Geneva County,34.1,23.2,,
32,Alabama,Greene County,46.3,40.2,,
33,Alabama,Hale County,40.4,26.8,,
34,Alabama,Henry County,35.8,15.6,,
35,Alabama,Houston County,32.8,18.3,,
36,Alabama,Jackson County,32,18,,
37,Alabama,Jefferson County,33.2,18.8,,
38,Alabama,Lamar County,33.6,24.1,,
39,Alabama,Lauderdale County,32.9,17.9,,
40,Alabama,Lawrence County,35.5,18.7,,
41,Alabama,Lee County,29,23.8,,
42,Alabama,Limestone County,32.9,14.3,,
43,Alabama,Lowndes County,45.1,28.5,,
44,Alabama,Macon County,44.7,25.9,,
45,Alabama,Madison County,32.3,13.7,,
46,Alabama,Marengo County,40.3,26.1,,
47,Alabama,Marion County,35.5,20.1,,
48,Alabama,Marshall County,33.2,20.2,,
49,Alabama,Mobile County,37.1,19.3,,
50,Alabama,Monroe County,35.3,31.4,,
51,Alabama,Montgomery County,34.8,22.6,,
52,Alabama,Morgan County,31.6,16.1,,
53,Alabama,Perry County,43,36.4,,
54,Alabama,Pickens County,36.4,25,,
55,Alabama,Pike County,38.4,26.1,,
56,Alabama,Randolph County,30.9,20.4,,
57,Alabama,Russell County,36.4,21,,
58,Alabama,St. Clair County,33,16,,
59,Alabama,Shelby County,30.1,8.3,,
60,Alabama,Sumter County,40.3,42.7,,
61,Alabama,Talladega County,39,23,,
62,Alabama,Tallapoosa County,36.9,22.5,,
63,Alabama,Tuscaloosa County,34.3,19.1,,
64,Alabama,Walker County,33.2,22.5,,
65,Alabama,Washington County,40.2,19.1,,
66,Alabama,Wilcox County,44.9,37.7,,
67,Alabama,Winston County,30.2,21.9,36.12835821,21.76268657
68,Alaska,Aleutians East Borough,33.4,16.8,,
69,Alaska,Aleutians West,39.4,9.1,,
70,Alaska,Anchorage Municipality,27,8.2,,
71,Alaska,Bethel Census Area,30.3,25.2,,
72,Alaska,Bristol Bay Borough,39.7,7.2,,
73,Alaska,Denali Borough,27,12.7,,
74,Alaska,Dillingham Census Area,38,18.1,,
75,Alaska,Fairbanks North Star,28.1,8.1,,
76,Alaska,Haines Borough,25.5,5.3,,
77,Alaska,Hoonah-Angoon 2009 Census,31.8,11.9,,
78,Alaska,Juneau City and Borough,28.6,6.6,,
79,Alaska,Kenai Peninsula Borough,28.4,10,,
80,Alaska,Ketchikan Gateway Borough,30.8,12.1,,
81,Alaska,Kodiak Island Borough,30.2,11.3,,
82,Alaska,Lake and Peninsula Borough,31.9,33.3,,
83,Alaska,Matanuska-Susitna Borough,30.2,16.8,,
84,Alaska,Nome Census Area,31.7,10,,
85,Alaska,North Slope Borough,36.5,27,,
86,Alaska,Northwest Arctic Borough,32.4,10.2,,
87,Alaska,Petersburg 2009 Census,30.5,23.8,,
88,Alaska,Prince of Wales-Hyder 2009 Census,35.2,10.2,,
89,Alaska,Sitka City and Borough,28.7,14.6,,
90,Alaska,Skagway Municipality 2009 Census,28.1,9,,
91,Alaska,Southeast Fairbanks Census,33.1,4.4,,
92,Alaska,Valdez-Cordova Census Area,30.4,14.5,,
93,Alaska,Wade Hampton Census Area,32.6,10.9,,
94,Alaska,Wrangell City and Borough 2009 Census,30.6,11.8,,
95,Alaska,Yakutat City and Borough,31.3,5.4,,
96,Alaska,Yukon-Koyukuk Census Area,28.3,22.4,31.36896552,13.34137931
97,Arizona,Apache County,35.2,36.6,,
98,Arizona,Cochise County,26,17.9,,
99,Arizona,Coconino County,23.2,22.7,,
100,Arizona,Gila County,27.5,22.7,,
101,Arizona,Graham County,32.5,22.6,,
102,Arizona,Greenlee County,34.7,13.7,,
103,Arizona,La Paz County,32,19.1,,
104,Arizona,Maricopa County,25.4,17,,
105,Arizona,Mohave County,29.6,19.8,,
106,Arizona,Navajo County,30.9,30.6,,
107,Arizona,Pima County,24.2,19.3,,
108,Arizona,Pinal County,31.6,17.3,,
109,Arizona,Santa Cruz County,23,23.5,,
110,Arizona,Yavapai County,25.3,16,,
111,Arizona,Yuma County,30.5,20.7,28.77333333,21.3
112,Arkansas,Arkansas County,33.8,20.1,,
113,Arkansas,Ashley County,42.1,20.7,,
114,Arkansas,Baxter County,32.3,15.9,,
115,Arkansas,Benton County,30.1,12.2,,
116,Arkansas,Boone County,33.9,17.7,,
117,Arkansas,Bradley County,39,29,,
118,Arkansas,Calhoun County,34.2,17.8,,
119,Arkansas,Carroll County,35.8,18.3,,
120,Arkansas,Chicot County,43.1,31.7,,
121,Arkansas,Clark County,34.3,23.7,,
122,Arkansas,Clay County,33.7,21.8,,
123,Arkansas,Cleburne County,31.8,14.5,,
124,Arkansas,Cleveland County,35.7,20.8,,
125,Arkansas,Columbia County,36.4,25.6,,
126,Arkansas,Conway County,39.7,22.6,,
127,Arkansas,Craighead County,36.4,20.2,,
128,Arkansas,Crawford County,35.1,18.5,,
129,Arkansas,Crittenden County,38.8,24.1,,
130,Arkansas,Cross County,37.9,20.1,,
131,Arkansas,Dallas County,36.2,15.5,,
132,Arkansas,Desha County,39.6,33,,
133,Arkansas,Drew County,34.3,28.6,,
134,Arkansas,Faulkner County,33.2,15.5,,
135,Arkansas,Franklin County,37.1,22,,
136,Arkansas,Fulton County,32.9,19.9,,
137,Arkansas,Garland County,32.3,20.9,,
138,Arkansas,Grant County,38.3,12,,
139,Arkansas,Greene County,31.2,17.8,,
140,Arkansas,Hempstead County,40.3,27,,
141,Arkansas,Hot Spring County,34.7,19.1,,
142,Arkansas,Howard County,35.7,21.8,,
143,Arkansas,Independence County,37.2,21.8,,
144,Arkansas,Izard County,33.9,21,,
